Strategy,Mean PnL,Median PnL,Std PnL,Sharpe-like,5th Percentile,95th Percentile,Min PnL,Max PnL,Avg Spread (bps),Spread Std (bps),Avg |Inventory|,Max |Inventory|,Inventory Turnover,Regime Switches,% Time Volatile,Avg |Predator Drift|
Vanilla AS (Unaware of Predator),1436.0334440669499,1412.1561401497856,1853.246535180417,0.774874479356385,-1605.644793648716,4458.6923854601655,-7375.327591368463,9555.665721489,3.195815724116357,0.9386826708361997,0.323559027777778,0.9500000000000007,40.900000000000006,9,54.548611111111114,0.11325000000000005
Equilibrium AS (Aware of Predator),3031.9588678584278,2924.856470626961,2478.3828520376733,1.2233617842237796,-559.3840324115997,7021.866691374573,-9813.441241606197,18266.20145387441,5.552594658081891,1.4930724315497865,0.3853472222222225,0.9500000000000008,40.75000000000001,9,54.548611111111114,0.13186111111111118
