Date,Open,High,Low,Close,Volume,count
2025-12-07 23:30:00,90034.5,90435.1,89877.8,90435.1,15.09590203,798
2025-12-08 00:00:00,90435.1,90435.1,89894.2,90250.0,15.60798784,899
2025-12-08 00:30:00,90250.1,90565.4,90250.0,90399.5,8.60623856,639
2025-12-08 01:00:00,90399.5,91265.3,90343.6,91187.9,35.66237442,1125
2025-12-08 01:30:00,91187.9,91700.0,90850.7,90909.5,57.1971381,1446
2025-12-08 02:00:00,90909.6,91101.9,90815.7,91042.2,25.98987482,663
2025-12-08 02:30:00,91042.2,91415.6,90977.6,91372.6,15.00423547,638
2025-12-08 03:00:00,91366.6,91407.1,91124.3,91281.7,12.82180865,605
2025-12-08 03:30:00,91272.0,91286.5,90989.9,91088.3,20.30518572,607
2025-12-08 04:00:00,91088.3,91316.5,91025.7,91257.2,33.59361488,829
2025-12-08 04:30:00,91257.2,91460.9,91168.7,91264.6,8.5594166,542
2025-12-08 05:00:00,91264.6,91359.9,91050.8,91292.9,6.6245421,755
2025-12-08 05:30:00,91293.0,91419.4,91292.9,91312.5,5.6819917,530
2025-12-08 06:00:00,91312.6,91443.7,91264.4,91424.7,18.64781066,566
2025-12-08 06:30:00,91424.6,91653.6,91424.6,91454.3,24.02801653,598
2025-12-08 07:00:00,91454.3,91713.6,91362.2,91687.0,15.46298844,614
2025-12-08 07:30:00,91687.1,91861.0,91493.0,91569.3,33.12208217,651
2025-12-08 08:00:00,91569.3,91705.4,91507.9,91689.1,13.18052226,424
2025-12-08 08:30:00,91689.2,91916.5,91640.0,91852.7,30.98350503,522
2025-12-08 09:00:00,91825.7,92269.6,91800.2,91971.6,43.91340524,1038
2025-12-08 09:30:00,91971.6,92031.2,91903.1,91914.1,28.11789387,438
2025-12-08 10:00:00,91914.2,92061.1,91826.4,92020.1,21.01390036,467
2025-12-08 10:30:00,92020.1,92198.6,91971.9,92130.0,39.58628243,425
2025-12-08 11:00:00,92130.0,92161.7,91979.2,92089.9,10.50556105,462
2025-12-08 11:30:00,92063.2,92063.3,91895.8,91954.0,10.41084765,453
2025-12-08 12:00:00,91954.0,91979.1,91789.8,91869.8,11.48623466,629
2025-12-08 12:30:00,91869.9,91909.1,91678.5,91764.7,13.47156531,522
2025-12-08 13:00:00,91764.7,92096.3,91528.7,91644.6,13.95265355,792
2025-12-08 13:30:00,91644.7,91700.0,91337.3,91415.7,26.2584191,869
2025-12-08 14:00:00,91415.7,91588.6,91154.2,91323.5,24.48321955,1130
2025-12-08 14:30:00,91323.4,91735.6,90768.8,90863.2,94.61431963,2507
2025-12-08 15:00:00,90852.5,90968.0,89740.1,89980.4,178.66374372,2396
