Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-04 00:00:00-05:00,351.378133316945,351.50921984841244,341.55704352172256,345.2738952636719,110210800,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,344.62801860513036,348.74744580773046,344.5811897244677,347.65203857421875,66426200,0.0,0.0,0.0
2021-01-06 00:00:00-05:00,346.1352704406905,352.9417139632321,345.58289548005973,349.73040771484375,107997700,0.0,0.0,0.0
2021-01-07 00:00:00-05:00,352.11784037667184,355.6755204442164,351.9399535161333,354.9265441894531,68766800,0.0,0.0,0.0
2021-01-08 00:00:00-05:00,356.3215017877144,357.16410716326504,353.0540523710122,356.94879150390625,71677200,0.0,0.0,0.0
2021-01-11 00:00:00-05:00,353.7562604316976,356.3121626841168,353.634545358418,354.5426940917969,51034700,0.0,0.0,0.0
2021-01-12 00:00:00-05:00,354.7299869126949,355.63810716269546,352.3612856414251,354.61761474609375,52547700,0.0,0.0,0.0
2021-01-13 00:00:00-05:00,354.54267652756454,356.57428957260373,353.75624290642565,355.5725402832031,45303600,0.0,0.0,0.0
2021-01-14 00:00:00-05:00,356.3215157720566,356.8270904458733,353.9903008081656,354.32733154296875,49989100,0.0,0.0,0.0
2021-01-15 00:00:00-05:00,352.6983573655993,353.50350553896874,349.8709386967397,351.743408203125,107160000,0.0,0.0,0.0
2021-01-19 00:00:00-05:00,354.2149880713764,355.04825056313285,352.7263785156569,354.5052185058594,51233300,0.0,0.0,0.0
2021-01-20 00:00:00-05:00,356.80837306175,360.25373828155864,356.41517050960914,359.4111328125,61836100,0.0,0.0,0.0
2021-01-21 00:00:00-05:00,359.972858716062,360.4035472353348,358.81193686949877,359.7388000488281,47840100,0.0,0.0,0.0
2021-01-22 00:00:00-05:00,357.8757132232422,359.6358390265115,357.49185356856196,358.4655456542969,52860500,0.0,0.0,0.0
2021-01-25 00:00:00-05:00,359.20515186913644,360.2349871014211,354.327348891495,359.8792419433594,70402000,0.0,0.0,0.0
2021-01-26 00:00:00-05:00,360.83426173950335,361.2462073418484,359.0835072153463,359.31756591796875,42665300,0.0,0.0,0.0
2021-01-27 00:00:00-05:00,355.97516596231895,356.068795148532,348.2886869202177,350.53564453125,123351100,0.0,0.0,0.0
2021-01-28 00:00:00-05:00,352.361256685765,357.57609050684005,351.9212538321037,353.55029296875,94198100,0.0,0.0,0.0
2021-01-29 00:00:00-05:00,351.6777822754757,352.6514741900494,344.7870812539234,346.4723205566406,126765100,0.0,0.0,0.0
2021-02-01 00:00:00-05:00,349.88963525233873,353.27880031449973,346.76261476483063,352.2395935058594,75817600,0.0,0.0,0.0
2021-02-02 00:00:00-05:00,355.4414663399572,358.7838307771095,352.32381763939856,357.2203063964844,64450700,0.0,0.0,0.0
2021-02-03 00:00:00-05:00,358.05359573948704,359.2332605872249,356.2185837542622,357.501220703125,52427100,0.0,0.0,0.0
2021-02-04 00:00:00-05:00,358.54037472968184,361.6112229062072,357.61351166948884,361.5644226074219,47142600,0.0,0.0,0.0
2021-02-05 00:00:00-05:00,363.4463232614555,363.699096345573,361.5176820583244,362.987548828125,48669800,0.0,0.0,0.0
2021-02-08 00:00:00-05:00,364.44799753245945,365.65574805077654,363.58667778309973,365.60894775390625,38365200,0.0,0.0,0.0
2021-02-09 00:00:00-05:00,364.766396648948,365.96480452292707,364.35447965678804,365.3656005859375,35551100,0.0,0.0,0.0
2021-02-10 00:00:00-05:00,367.11634769534874,367.26614867663744,362.7909479327446,365.2064208984375,59154400,0.0,0.0,0.0
2021-02-11 00:00:00-05:00,366.292467914223,366.7137849728556,363.3527057088948,365.7962646484375,42913300,0.0,0.0,0.0
2021-02-12 00:00:00-05:00,364.9910773061147,367.8465815074679,364.91616253538814,367.6031799316406,50593300,0.0,0.0,0.0
2021-02-16 00:00:00-05:00,368.8389734144862,369.03560325119344,366.5639302035512,367.2848205566406,50972400,0.0,0.0,0.0
2021-02-17 00:00:00-05:00,365.52475715839137,367.62191370338655,364.5042362118772,367.369140625,52290600,0.0,0.0,0.0
2021-02-18 00:00:00-05:00,364.7476837323332,366.5546098976063,363.01564377368203,365.8056335449219,59712800,0.0,0.0,0.0
2021-02-19 00:00:00-05:00,367.06950298187,367.35973341937574,364.7101735265169,365.1595764160156,83241000,0.0,0.0,0.0
2021-02-22 00:00:00-05:00,362.37894648963726,364.77570467738775,362.0793445732656,362.3508605957031,67414200,0.0,0.0,0.0
2021-02-23 00:00:00-05:00,360.13208170322883,364.1485369964713,355.95648249404564,362.7909851074219,107284100,0.0,0.0,0.0
2021-02-24 00:00:00-05:00,361.69554661169246,367.2193543140166,360.7031400947551,366.7886657714844,72433900,0.0,0.0,0.0
2021-02-25 00:00:00-05:00,365.51535308048653,366.89161908333995,356.499409324203,357.9505615234375,146670500,0.0,0.0,0.0
2021-02-26 00:00:00-05:00,359.84185856528967,360.993409107362,354.11210604178865,356.10626220703125,152701600,0.0,0.0,0.0
2021-03-01 00:00:00-05:00,361.0027141509435,365.9928608201491,356.3028265082272,364.73828125,105348800,0.0,0.0,0.0
2021-03-02 00:00:00-05:00,364.9629993988001,365.1970580621201,361.3865761660831,361.89215087890625,79595300,0.0,0.0,0.0
2021-03-03 00:00:00-05:00,361.1900045292003,362.16366807695084,356.9956626525254,357.0986633300781,119940200,0.0,0.0,0.0
2021-03-04 00:00:00-05:00,356.9113970656126,359.5141284149185,348.1669683082812,352.67962646484375,183433000,0.0,0.0,0.0
2021-03-05 00:00:00-05:00,356.19984802170217,360.2256743979512,348.8785143397938,359.167724609375,152039600,0.0,0.0,0.0
2021-03-08 00:00:00-05:00,360.1319874445202,362.9594055155438,357.09859662848083,357.37945556640625,123149200,0.0,0.0,0.0
2021-03-09 00:00:00-05:00,361.2461579907032,365.04726851627913,360.7405832620537,362.48199462890625,113633600,0.0,0.0,0.0
2021-03-10 00:00:00-05:00,364.8412819184215,366.4422351649294,363.41821554059374,364.73828125,109899400,0.0,0.0,0.0
2021-03-11 00:00:00-05:00,367.2193686481361,370.421275513694,366.76059418897574,368.43646240234375,86245000,0.0,0.0,0.0
2021-03-12 00:00:00-05:00,367.06951941078046,369.07304666812473,366.2549998515435,368.9326171875,64653600,0.0,0.0,0.0
2021-03-15 00:00:00-04:00,369.18539790534726,371.3949265422265,367.03206963349646,371.1327819824219,73427200,0.0,0.0,0.0
2021-03-16 00:00:00-04:00,371.7506778939467,372.4621967582161,369.88755161919505,370.6646423339844,73722500,0.0,0.0,0.0
2021-03-17 00:00:00-04:00,369.37265796859043,372.7337369575825,368.22107905505703,371.9285888671875,97959300,0.0,0.0,0.0
2021-03-18 00:00:00-04:00,369.3258548274589,371.4230112994617,365.8336892989774,366.51715087890625,115349100,0.0,0.0,0.0
2021-03-19 00:00:00-04:00,366.21473449983927,367.8021557259411,363.6504320580141,365.8390197753906,113624500,1.278,0.0,0.0
2021-03-22 00:00:00-04:00,366.35561481385486,370.1503993662236,366.29925903985094,368.7602233886719,73778600,0.0,0.0,0.0
2021-03-23 00:00:00-04:00,368.1214765299791,369.57738168580414,365.0687481292161,365.8577575683594,90686600,0.0,0.0,0.0
2021-03-24 00:00:00-04:00,367.26667191673187,368.9104485813208,363.9509407056257,363.9978942871094,97588600,0.0,0.0,0.0
2021-03-25 00:00:00-04:00,362.55142279228585,366.84400672465426,360.59766059245567,366.0456237792969,116128600,0.0,0.0,0.0
2021-03-26 00:00:00-04:00,367.200940149414,372.3483200483968,366.5998024036919,371.9444274902344,114409100,0.0,0.0,0.0
2021-03-29 00:00:00-04:00,370.460290857603,372.6676538345254,368.9668057792232,371.75653076171875,108107600,0.0,0.0,0.0
